Strain,Light (µmol photons/m²/s),pH,Salinity (PSU),Temperature (°C),N:P Ratio,Nitrate (mg/L),Phosphate (mg/L),Lipid Percentage (%),Biomass (g/L),Lipid Productivity (g/L/day),Culture_time_days
Chlorella vulgaris,198.29,6.99,0.7,23.27,19.47,1063.39,4.42,28.05,4.55,0.0775,10.0
Chlorella vulgaris,168.42,7.14,1.12,23.01,21.94,1196.16,4.89,29.13,4.17,0.0722,10.0
Chlamydomonas reinhardtii,189.27,7.34,-0.22,23.83,29.91,772.16,5.37,24.05,3.56,0.0573,10.0
Nannochloropsis gaditana,97.0,7.79,30.43,23.74,21.59,55.39,1.26,19.98,1.25,0.0224,12.0
Nannochloropsis gaditana,113.61,7.92,29.25,21.64,23.77,61.07,1.13,25.31,1.19,0.0265,12.0
Chlorella vulgaris,169.02,6.96,1.96,26.88,20.83,1259.08,5.68,35.51,4.81,0.0801,10.0
Chlamydomonas reinhardtii,207.86,7.65,1.37,22.85,12.45,1004.85,6.15,25.45,4.01,0.063,10.0
Monoraphidium braunii,182.48,6.8,5.27,25.1,101.41,1263.16,5.14,44.39,0.69,0.0921,10.0
Chlorella vulgaris,234.98,6.93,-0.78,24.75,24.75,1171.0,5.38,29.24,4.95,0.0736,10.0
Chlorella vulgaris,216.51,7.2,-0.32,23.23,15.1,1311.02,6.07,38.33,5.12,0.0807,10.0
Nannochloropsis gaditana,85.0,7.85,31.81,23.77,21.56,62.27,1.16,25.06,1.22,0.0194,12.0
Chlorella sorokiniana,77.75,7.0,0.59,25.42,-3.06,54.49,7.81,27.47,2.41,0.0584,10.0
Chlorella vulgaris,197.66,6.97,0.26,25.47,8.15,950.31,6.41,35.05,4.4,0.0881,10.0
Nannochloropsis gaditana,85.78,7.79,31.63,23.78,27.85,58.04,1.04,22.65,1.12,0.0197,12.0
Nannochloropsis gaditana,106.32,7.7,29.94,21.97,25.92,58.41,1.28,27.34,1.46,0.0273,12.0
Chlorella sorokiniana,77.17,6.71,-0.95,26.18,4.66,72.83,7.84,29.09,2.36,0.0461,10.0
Monoraphidium braunii,204.78,7.07,7.76,24.72,107.44,1125.55,5.42,50.67,0.66,0.0668,10.0
Chlamydomonas reinhardtii,163.47,7.44,1.01,22.09,11.81,763.53,4.45,32.29,4.44,0.0773,10.0
Monoraphidium braunii,208.01,6.73,4.55,24.66,94.36,1264.43,5.14,44.63,0.54,0.0815,10.0
Chlorella sorokiniana,56.02,6.71,-0.22,23.8,6.84,52.32,5.8,26.43,1.94,0.0432,10.0
Chlamydomonas reinhardtii,168.32,7.6,-0.68,23.77,26.2,1000.6,4.69,25.82,3.06,0.0628,10.0
Chlamydomonas reinhardtii,147.74,7.46,-0.25,25.92,14.18,861.1,5.99,34.19,3.33,0.0637,10.0
Chlorella sorokiniana,53.29,7.16,1.12,25.94,11.48,55.95,7.52,31.72,2.62,0.0522,10.0
Nannochloropsis gaditana,89.88,8.16,31.85,20.61,27.7,51.17,1.06,23.99,1.21,0.0248,12.0
Chlamydomonas reinhardtii,193.66,7.7,1.72,22.82,29.83,843.67,4.29,32.17,4.14,0.0657,10.0
Monoraphidium braunii,199.62,6.76,6.3,23.35,100.82,947.01,5.56,47.64,0.55,0.0641,10.0
Nannochloropsis gaditana,100.64,7.92,28.17,20.4,33.63,60.09,1.28,23.76,1.47,0.0235,12.0
Chlorella sorokiniana,69.31,7.29,0.12,26.25,3.09,50.61,8.2,34.91,2.6,0.0577,10.0
Monoraphidium braunii,221.39,7.05,4.59,25.23,99.9,1024.79,5.38,36.25,0.51,0.0682,10.0
Chlorella vulgaris,164.44,7.13,-1.5,24.06,9.66,1282.72,6.15,30.15,5.31,0.0911,10.0
Nannochloropsis gaditana,93.45,7.78,31.31,23.07,31.4,51.52,1.21,20.29,1.33,0.0234,12.0
Nannochloropsis gaditana,108.68,8.01,30.06,21.26,22.97,59.63,1.33,28.24,1.23,0.0235,12.0
Monoraphidium braunii,195.76,6.74,6.69,23.64,102.45,1275.15,5.39,41.35,0.7,0.0701,10.0
Chlorella sorokiniana,60.09,6.83,1.73,23.15,11.34,67.12,6.55,28.56,2.09,0.0496,10.0
Monoraphidium braunii,194.18,7.12,6.84,23.62,92.25,1171.04,6.13,34.51,0.7,0.0793,10.0
Chlorella vulgaris,233.72,7.31,-0.5,26.87,22.76,1095.21,5.67,34.28,5.47,0.0723,10.0
Chlamydomonas reinhardtii,189.4,7.61,0.63,25.87,11.3,1000.78,5.34,28.41,4.2,0.0641,10.0
Monoraphidium braunii,198.53,6.71,4.58,24.02,92.33,1108.44,4.6,40.5,0.68,0.0835,10.0
Chlorella vulgaris,176.55,7.3,-1.87,23.31,20.32,1292.47,4.76,28.94,5.66,0.078,10.0
Chlorella vulgaris,191.72,7.22,0.06,26.82,22.91,1145.12,5.16,37.33,4.18,0.069,10.0
Chlorella sorokiniana,57.55,7.11,-0.25,25.52,7.07,65.49,8.36,33.12,2.23,0.0565,10.0
Chlamydomonas reinhardtii,211.14,7.69,1.8,22.57,22.2,1077.9,5.05,24.8,3.33,0.0645,10.0
Chlamydomonas reinhardtii,210.19,7.48,-0.86,25.56,19.03,798.54,4.72,23.44,3.78,0.053,10.0
Nannochloropsis gaditana,83.51,8.05,30.56,22.97,22.77,60.45,1.32,23.1,1.17,0.0205,12.0
Chlorella vulgaris,167.27,7.47,-0.96,24.13,22.53,1141.98,6.49,29.78,4.3,0.08,10.0
Chlamydomonas reinhardtii,152.46,7.56,-1.82,25.34,23.05,1073.22,5.1,24.54,3.74,0.0759,10.0
Nannochloropsis gaditana,83.47,7.76,28.78,23.29,19.35,55.58,1.19,18.96,1.51,0.0207,12.0
Chlorella vulgaris,177.72,7.11,0.82,26.32,13.48,1060.96,6.02,30.42,5.55,0.0894,10.0
Monoraphidium braunii,234.59,7.02,7.41,26.63,103.69,1201.23,5.43,38.03,0.55,0.092,10.0
Chlamydomonas reinhardtii,166.34,7.64,-0.23,24.68,14.69,977.74,4.45,27.81,3.68,0.0574,10.0
Monoraphidium braunii,195.58,7.21,5.9,25.88,98.02,1190.43,6.02,51.12,0.56,0.077,10.0
Chlorella sorokiniana,56.56,7.24,1.16,24.51,13.38,55.28,7.37,28.86,2.61,0.0507,10.0
Monoraphidium braunii,229.85,6.99,4.89,26.85,103.08,1286.8,5.24,47.34,0.59,0.0814,10.0
Chlorella sorokiniana,62.14,6.72,0.08,24.63,-5.34,57.03,7.76,26.46,2.04,0.0541,10.0
Monoraphidium braunii,181.21,7.19,6.8,25.1,100.45,880.01,4.83,46.72,0.64,0.068,10.0
Chlorella vulgaris,176.55,6.93,-0.73,23.32,11.64,1043.45,5.32,34.7,3.85,0.0839,10.0
Chlorella sorokiniana,73.41,6.8,-0.37,26.74,11.29,64.51,7.94,32.54,2.16,0.0452,10.0
Monoraphidium braunii,226.08,6.78,5.12,26.37,95.23,1169.15,5.17,37.55,0.52,0.0858,10.0
Monoraphidium braunii,167.5,7.13,4.48,24.62,96.32,951.18,5.58,51.34,0.64,0.0868,10.0
Nannochloropsis gaditana,110.65,7.77,30.95,21.52,15.76,54.79,1.04,19.78,1.5,0.0271,12.0
Monoraphidium braunii,219.19,7.29,7.64,24.58,90.05,917.23,4.81,39.19,0.74,0.0886,10.0
Monoraphidium braunii,200.62,6.99,4.26,26.9,109.84,1159.77,5.36,50.44,0.6,0.0788,10.0
Nannochloropsis gaditana,112.82,7.86,30.91,21.93,24.27,52.84,1.25,19.04,1.33,0.0245,12.0
Chlorella sorokiniana,77.92,7.09,0.55,24.1,12.75,53.15,7.23,32.27,2.23,0.0548,10.0
Chlorella sorokiniana,66.03,6.72,1.34,24.1,9.5,72.56,8.5,37.13,2.61,0.0411,10.0
Chlorella sorokiniana,60.67,7.02,-0.82,26.37,13.04,64.68,8.14,32.88,2.39,0.059,10.0
Chlamydomonas reinhardtii,207.88,7.42,0.12,23.23,20.54,843.2,4.32,28.25,4.19,0.0627,10.0
Chlorella sorokiniana,54.86,6.77,1.94,23.01,8.64,59.97,5.77,25.44,2.35,0.0532,10.0
Monoraphidium braunii,171.06,6.71,5.38,23.67,98.36,1258.86,6.05,41.9,0.61,0.0638,10.0
Nannochloropsis gaditana,94.2,7.98,32.0,21.91,31.94,64.33,0.91,26.98,1.42,0.0202,12.0
Monoraphidium braunii,195.43,7.09,6.02,24.22,92.24,970.6,5.84,43.71,0.74,0.0639,10.0
Nannochloropsis gaditana,87.21,8.12,29.8,21.27,22.97,62.61,1.26,26.89,1.14,0.0232,12.0
Chlorella vulgaris,163.6,7.25,0.97,24.26,16.39,932.83,6.09,31.57,4.59,0.0768,10.0
Chlorella sorokiniana,68.66,7.19,1.85,25.74,0.75,59.92,7.31,27.87,2.35,0.0566,10.0
Chlorella vulgaris,160.41,6.93,1.56,26.2,19.56,1296.04,5.38,31.63,5.51,0.075,10.0
Monoraphidium braunii,237.68,6.93,7.93,25.98,106.45,1296.93,5.74,42.5,0.69,0.0688,10.0
Chlorella vulgaris,163.43,7.04,1.17,23.94,20.93,1114.03,6.09,30.67,4.72,0.0933,10.0
Chlorella vulgaris,184.84,7.12,-1.96,25.48,10.33,1166.84,5.72,34.6,3.98,0.0669,10.0
Nannochloropsis gaditana,83.43,8.11,30.47,20.57,33.96,44.95,1.16,27.41,1.57,0.0215,12.0
Monoraphidium braunii,160.79,7.07,5.49,25.27,106.23,1283.22,6.19,41.01,0.5,0.0672,10.0
Chlamydomonas reinhardtii,171.49,7.25,-0.75,25.68,22.68,905.74,5.11,32.06,3.97,0.0522,10.0
Chlamydomonas reinhardtii,180.59,7.61,-1.22,22.93,25.97,920.8,4.59,32.9,3.35,0.0528,10.0
Chlamydomonas reinhardtii,170.57,7.5,1.28,24.35,16.52,1059.55,4.89,33.82,3.64,0.0744,10.0
Chlorella vulgaris,160.39,7.32,0.18,26.98,6.29,1011.02,5.12,34.18,4.55,0.067,10.0
Monoraphidium braunii,223.47,7.18,7.67,23.33,97.51,1280.23,4.77,37.54,0.73,0.0688,10.0
Chlamydomonas reinhardtii,164.78,7.58,-1.54,22.94,15.03,1036.76,5.97,24.48,4.39,0.052,10.0
Monoraphidium braunii,184.86,6.9,5.22,24.14,99.9,1240.91,5.01,38.78,0.72,0.0854,10.0
Monoraphidium braunii,202.76,7.29,7.5,24.22,95.07,960.66,6.12,47.54,0.51,0.0751,10.0
Nannochloropsis gaditana,87.02,7.81,31.7,21.43,27.89,58.95,1.32,27.38,1.58,0.0244,12.0
Monoraphidium braunii,233.5,6.78,4.7,23.96,94.75,1068.02,5.72,37.83,0.56,0.0674,10.0
Chlorella sorokiniana,57.58,6.79,0.0,25.72,10.4,58.21,6.0,30.28,2.41,0.0422,10.0
Nannochloropsis gaditana,109.73,7.94,29.53,21.74,21.54,47.57,0.99,27.69,1.23,0.0219,12.0
Chlorella vulgaris,190.96,7.18,1.09,25.49,12.91,1040.58,6.48,35.27,4.09,0.0762,10.0
Nannochloropsis gaditana,100.98,8.26,31.4,20.81,15.59,61.53,1.29,24.61,1.39,0.0243,12.0
Nannochloropsis gaditana,101.38,7.81,29.59,21.96,19.9,61.35,1.29,23.0,1.24,0.0234,12.0
Chlorella sorokiniana,67.11,6.94,0.87,24.47,1.48,56.98,8.08,36.95,2.04,0.0527,10.0
Chlorella sorokiniana,75.42,7.05,-0.95,23.9,-2.5,55.34,6.4,30.04,2.33,0.0402,10.0
Chlamydomonas reinhardtii,170.11,7.47,-0.68,22.8,19.88,1015.99,5.78,25.3,4.42,0.0721,10.0
Chlorella sorokiniana,59.85,7.11,1.63,26.07,-2.65,57.22,6.46,28.27,1.9,0.0425,10.0
Chlorella sorokiniana,70.13,6.91,1.23,23.27,-2.68,56.31,7.07,34.48,2.15,0.0456,10.0
Nannochloropsis gaditana,82.27,7.73,31.36,21.66,23.98,60.74,1.0,23.21,1.3,0.0228,12.0
Chlorella vulgaris,210.06,6.93,-1.36,26.26,11.48,946.64,6.4,34.35,4.95,0.0711,10.0
Chlorella vulgaris,221.23,6.95,1.17,23.32,20.79,1208.19,5.32,26.04,4.19,0.0686,10.0
Chlamydomonas reinhardtii,154.39,7.58,0.24,22.62,17.68,1041.02,5.7,22.96,4.44,0.0762,10.0
Chlamydomonas reinhardtii,202.28,7.63,0.99,23.31,19.85,906.64,6.16,27.38,3.24,0.0721,10.0
Monoraphidium braunii,185.71,6.77,7.53,26.88,107.66,1082.66,5.71,37.2,0.69,0.0814,10.0
Chlorella sorokiniana,70.58,7.11,-1.44,26.71,-1.54,64.79,6.67,36.12,1.99,0.0471,10.0
Chlorella sorokiniana,77.14,6.98,-1.39,24.13,3.12,57.99,7.15,28.11,1.8,0.0541,10.0
Chlorella vulgaris,236.62,7.0,1.69,24.39,19.24,1160.75,4.63,36.67,3.9,0.0714,10.0
Chlorella sorokiniana,63.69,6.74,-1.62,26.96,12.35,54.33,7.19,25.73,1.82,0.059,10.0
Monoraphidium braunii,161.29,6.87,5.76,24.62,107.77,1000.98,6.13,41.46,0.5,0.0924,10.0
Chlamydomonas reinhardtii,146.4,7.48,-0.45,22.2,22.54,1001.81,5.25,33.81,3.49,0.0567,10.0
Nannochloropsis gaditana,90.23,8.09,29.85,23.0,27.54,50.36,1.06,24.42,1.37,0.0204,12.0
Monoraphidium braunii,164.69,7.07,4.75,24.59,97.38,968.79,5.44,44.76,0.51,0.0688,10.0
Chlorella sorokiniana,74.1,7.2,-1.71,23.87,-0.61,67.65,7.52,37.07,2.26,0.0459,10.0
Chlorella sorokiniana,63.86,6.77,-1.83,25.3,0.57,69.86,6.95,28.06,1.97,0.056,10.0
Chlamydomonas reinhardtii,185.29,7.77,-1.65,25.06,12.67,919.63,4.84,23.03,2.98,0.0579,10.0
Monoraphidium braunii,211.3,7.2,7.07,25.61,102.02,1119.95,5.38,49.23,0.52,0.0831,10.0
Nannochloropsis gaditana,93.31,7.7,29.33,22.17,19.97,49.55,1.1,23.86,1.43,0.0257,12.0
Chlorella vulgaris,219.99,7.13,0.73,26.93,12.01,1153.42,6.23,38.17,4.29,0.0854,10.0
Chlorella vulgaris,188.71,7.3,0.89,24.74,7.94,1040.64,5.0,27.97,4.29,0.0959,10.0
Chlamydomonas reinhardtii,191.33,7.23,1.99,24.91,29.06,868.55,4.3,28.08,3.42,0.0687,10.0
Chlorella sorokiniana,75.09,6.85,-1.69,25.8,10.88,58.05,6.64,36.59,1.78,0.0478,10.0
Chlorella sorokiniana,68.22,7.06,0.65,26.3,-1.3,51.22,7.59,33.84,2.06,0.0445,10.0
Chlamydomonas reinhardtii,174.81,7.41,-1.51,24.62,28.86,1106.39,5.87,32.07,3.39,0.0686,10.0
Chlorella sorokiniana,64.4,6.78,-1.17,23.8,2.03,70.35,6.91,27.36,2.12,0.041,10.0
Chlorella sorokiniana,55.32,6.74,-0.96,24.04,3.1,58.61,8.16,33.43,2.48,0.04,10.0
Nannochloropsis gaditana,90.98,8.14,30.15,22.34,27.99,58.8,0.93,28.01,1.5,0.0228,12.0
Chlamydomonas reinhardtii,199.19,7.44,-1.19,22.04,19.33,1055.06,5.5,28.64,3.03,0.0543,10.0
Chlamydomonas reinhardtii,170.66,7.69,1.18,22.72,24.07,1107.69,4.52,31.8,4.08,0.0694,10.0
Chlorella sorokiniana,58.86,6.98,-0.73,24.64,5.11,68.18,6.7,29.56,2.36,0.0478,10.0
Chlamydomonas reinhardtii,183.94,7.23,1.05,25.93,14.25,816.75,5.7,25.92,3.34,0.0677,10.0
Chlorella vulgaris,229.29,6.96,-0.63,26.44,22.34,937.28,5.38,30.04,4.67,0.0714,10.0
Chlamydomonas reinhardtii,150.22,7.2,0.09,25.24,23.37,941.15,4.85,31.85,3.17,0.0747,10.0
Monoraphidium braunii,215.6,7.05,7.01,23.52,103.77,1161.91,4.65,51.0,0.65,0.0869,10.0
Nannochloropsis gaditana,102.83,8.0,29.46,23.17,29.07,47.15,1.28,21.18,1.13,0.0253,12.0
Chlamydomonas reinhardtii,170.25,7.52,1.02,25.61,10.6,928.62,5.58,26.31,3.07,0.0747,10.0
Monoraphidium braunii,234.87,6.83,6.39,24.81,108.35,925.46,5.9,35.37,0.64,0.0841,10.0
Chlorella vulgaris,218.92,7.04,0.06,23.22,9.93,1055.96,5.28,26.34,4.79,0.0933,10.0
Monoraphidium braunii,187.21,6.93,4.27,25.42,104.59,1112.7,5.4,39.9,0.58,0.0795,10.0
Nannochloropsis gaditana,115.01,7.76,29.15,20.5,30.83,57.99,1.04,27.93,1.36,0.0217,12.0
Chlorella sorokiniana,64.81,7.21,-0.22,24.23,4.85,70.33,7.52,35.39,1.79,0.0437,10.0
Chlorella sorokiniana,71.34,6.94,-0.36,26.49,7.51,59.53,8.48,30.0,1.87,0.0589,10.0
Nannochloropsis gaditana,116.93,8.11,28.62,23.36,17.65,56.8,0.98,23.98,1.53,0.0255,12.0
Chlorella sorokiniana,70.21,7.12,-1.68,24.82,9.01,57.89,6.27,31.45,1.85,0.0495,10.0
Monoraphidium braunii,223.97,6.81,5.87,26.45,94.27,939.39,5.37,44.55,0.63,0.0884,10.0
Chlamydomonas reinhardtii,148.51,7.52,0.29,24.68,27.68,1135.03,5.51,26.78,4.28,0.0592,10.0
Nannochloropsis gaditana,88.44,7.91,28.18,23.48,25.8,51.24,1.16,20.23,1.36,0.0276,12.0
Monoraphidium braunii,177.75,6.8,7.16,24.79,91.16,1016.14,5.62,37.51,0.64,0.0936,10.0
Chlorella vulgaris,180.93,6.97,0.12,24.64,24.55,1289.91,5.86,36.33,4.72,0.095,10.0
Chlamydomonas reinhardtii,160.46,7.21,1.22,23.45,16.32,817.1,4.51,23.28,3.19,0.0596,10.0
Chlamydomonas reinhardtii,162.34,7.62,1.06,23.33,24.6,1098.1,5.15,26.15,3.83,0.0768,10.0
Monoraphidium braunii,225.35,6.97,7.45,26.28,104.58,958.91,4.48,48.03,0.66,0.0862,10.0
Chlamydomonas reinhardtii,173.87,7.78,0.97,25.67,21.43,909.76,4.74,31.37,3.46,0.0538,10.0
Monoraphidium braunii,203.12,6.95,5.65,23.01,99.24,1061.55,5.02,36.82,0.66,0.0817,10.0
Chlorella vulgaris,210.26,6.91,-1.9,25.39,23.97,1141.96,4.59,26.39,4.32,0.0808,10.0
Chlorella vulgaris,226.73,7.18,1.55,23.28,11.06,1165.63,5.86,34.98,4.65,0.0939,10.0
Chlamydomonas reinhardtii,163.62,7.37,-1.47,25.64,19.74,1056.63,5.9,32.2,3.49,0.0569,10.0
Chlamydomonas reinhardtii,178.63,7.73,-1.91,25.0,17.04,1078.64,4.27,24.03,3.73,0.0654,10.0
Chlorella sorokiniana,75.29,7.03,-1.31,24.68,1.17,72.8,6.17,25.43,1.97,0.043,10.0
Nannochloropsis gaditana,100.67,8.17,28.25,22.52,17.15,56.46,1.21,26.6,1.59,0.0266,12.0
Nannochloropsis gaditana,91.91,8.03,31.93,23.01,16.11,45.99,0.94,25.27,1.27,0.0187,12.0
Chlamydomonas reinhardtii,187.26,7.73,0.16,22.28,27.81,880.93,5.66,24.09,4.12,0.0562,10.0
